PLAYERID,NAME,CLUB,GRADE,POS,G,IP,E,FPCT,CS
1,강경학,한화,C,4,5,14,0,1,0
1,강경학,한화,C,6,38,252.333,7,0.944,0
1,강경학,한화,C,D,0,0,0,0,0
2,강구성,NC,C,7,1,1,0,1,0
2,강구성,NC,C,D,0,0,0,0,0
3,강동관,롯데,C,2,2,3.667,0,1,0
3,강동관,롯데,C,D,0,0,0,0,0
4,강동연,두산,C,1,11,7.667,0,1,0
4,강동연,두산,C,D,0,0,0,0,0
5,강민국,NC,C,4,1,1,0,0,0
5,강민국,NC,C,5,4,8,0,1,0
5,강민국,NC,C,6,19,58.333,4,0.875,0
5,강민국,NC,C,D,0,0,0,0,0
6,강민호,롯데,A,2,95,763.333,4,0.994,34.4
6,강민호,롯데,A,D,0,0,0,0,0
7,강승현,롯데,C,1,6,8.333,0,1,0
7,강승현,롯데,C,D,0,0,0,0,0
8,강승호,LG,C,6,17,94,5,0.915,0
8,강승호,LG,C,D,0,0,0,0,0
9,강영식,롯데,C,1,24,11.667,1,0,0
9,강영식,롯데,C,D,0,0,0,0,0
10,강윤구,넥센,C,1,1,1,0,0,0
10,강윤구,넥센,C,D,0,0,0,0,0
11,강장산,NC,C,1,3,2.333,0,1,0
11,강장산,NC,C,D,0,0,0,0,0
12,강지광,넥센,C,9,18,45,0,1,0
12,강지광,넥센,C,7,16,70,0,1,0
12,강지광,넥센,B,8,11,56.333,1,0.958,0
12,강지광,넥센,C,D,0,0,0,0,0
13,강한울,KIA,C,4,24,46.667,0,1,0
13,강한울,KIA,C,5,2,4,0,0,0
13,강한울,KIA,B,6,97,688.667,11,0.972,0
13,강한울,KIA,C,D,0,0,0,0,0
14,고메즈,SK,C,6,112,933,25,0.955,0
14,고메즈,SK,C,D,0,0,0,0,0
15,고봉재,두산,C,1,25,23.333,0,1,0
15,고봉재,두산,C,D,0,0,0,0,0
16,고영민,두산,C,3,2,2,0,1,0
16,고영민,두산,C,4,2,5,0,1,0
16,고영민,두산,C,D,0,0,0,0,0
17,고영우,KIA,C,3,8,11,0,1,0
17,고영우,KIA,C,4,14,20.333,0,1,0
