PLAYERID,NAME,CLUB,GRADE,AVG,G,PA,R,H,B2,B3,HR,RBI,SAC,BB,HBP,SLG,OBP,OPS,RISP
164,박건우,두산,A,0.335,132,540,95,162,36,4,20,83,4,38,9,0.55,0.39,0.94,0.331
97,김재환,두산,A,0.325,134,568,107,160,32,3,37,124,0,71,0,0.628,0.407,1.035,0.313
280,오재일,두산,A,0.316,105,455,69,120,20,2,27,92,2,64,2,0.592,0.411,1.003,0.295
276,에반스,두산,A,0.308,118,481,69,123,31,0,24,81,0,69,5,0.565,0.41,0.975,0.266
528,황재균,롯데,A,0.335,127,559,97,167,26,5,27,113,0,49,4,0.57,0.394,0.964,0.411
6,강민호,롯데,A,0.323,116,460,65,123,26,0,20,72,0,66,10,0.549,0.433,0.982,0.33
488,최형우,삼성,A,0.376,138,618,99,195,46,2,31,144,0,83,9,0.651,0.464,1.115,0.38
23,구자욱,삼성,A,0.343,108,495,105,147,19,13,14,77,2,55,5,0.547,0.42,0.967,0.352
118,김태균,한화,A,0.365,144,652,94,193,39,0,23,136,0,108,9,0.569,0.475,1.044,0.417
143,로사리오,한화,A,0.321,127,532,78,158,31,2,33,120,1,33,4,0.593,0.367,0.96,0.348
103,김주찬,KIA,A,0.346,130,555,97,177,37,3,23,101,1,30,7,0.566,0.386,0.952,0.421
327,이범호,KIA,A,0.31,138,560,93,150,23,0,33,108,0,60,9,0.562,0.391,0.953,0.314
133,나지완,KIA,A,0.308,118,486,84,117,21,2,25,90,0,85,17,0.571,0.451,1.022,0.304
165,박경수,kt,A,0.313,121,476,64,126,22,1,20,80,0,65,5,0.522,0.412,0.934,0.325
493,테임즈,NC,A,0.321,123,529,118,140,30,3,40,121,0,74,12,0.679,0.427,1.106,0.304
177,박석민,NC,A,0.307,126,506,77,131,20,0,32,104,2,56,16,0.578,0.404,0.982,0.354
534,이호준,NC,A,0.298,119,472,46,119,20,0,21,87,2,65,2,0.506,0.396,0.902,0.342
481,최정,SK,A,0.288,141,606,106,144,24,1,40,106,0,77,23,0.58,0.403,0.983,0.278
138,대니돈,넥센,A,0.295,129,497,65,123,33,1,16,70,1,70,5,0.494,0.399,0.893,0.297
162,민병헌,두산,A,0.325,134,579,98,166,31,4,16,87,1,48,15,0.495,0.396,0.891,0.357
238,손아섭,롯데,A,0.323,144,672,118,186,33,1,16,81,0,92,3,0.468,0.418,0.886,0.331
337,이승엽,삼성,A,0.303,142,623,91,164,32,2,27,118,0,65,8,0.518,0.38,0.898,0.33
343,이용규,한화,A,0.352,113,530,98,159,20,4,3,41,7,63,7,0.434,0.438,0.872,0.374
241,송광민,한화,A,0.325,116,494,80,146,27,2,17,83,7,28,4,0.508,0.366,0.874,0.328
228,서동욱,KIA,A,0.292,124,485,73,120,30,3,16,67,6,60,5,0.496,0.386,0.882,0.308
301,유한준,kt,A,0.336,110,460,70,137,22,0,14,64,0,47,2,0.493,0.404,0.897,0.319
187,박용택,LG,A,0.346,138,578,84,176,24,0,11,90,0,58,4,0.458,0.412,0.87,0.376
530,히메네스,LG,A,0.308,135,579,101,161,36,0,26,102,1,39,10,0.526,0.363,0.889,0.304
284,오지환,LG,A,0.28,121,472,73,110,14,5,20,78,2,65,7,0.494,0.387,0.881,0.266
130,나성범,NC,A,0.309,144,653,116,177,37,2,22,113,1,67,9,0.497,0.388,0.885,0.32
52,김민성,넥센,B,0.306,141,579,76,156,39,5,17,90,1,53,3,0.502,0.367,0.869,0.298
497,필,KIA,B,0.313,132,544,71,156,37,1,20,86,0,33,5,0.511,0.357,0.868,0.284
424,정의윤,SK,B,0.311,144,616,68,179,32,1,27,100,0,25,10,0.51,0.347,0.857,0.301
308,윤석민,넥센,B,0.334,92,402,72,114,15,0,19,80,0,46,9,0.545,0.42,0.965,0.289
