PLAYERID,NAME,CLUB,GRADE,ERA,G,W,L,SV,HLD,IP,H,HR,BB,HBP,SO
261,심창민,삼성,A,2.97,62,2,6,25,4,72.667,59,6,26,4,76
253,신재영,넥센,A,3.9,30,15,7,0,0,168.667,192,19,21,11,99
75,김세현,넥센,A,2.6,62,2,0,36,0,62.333,66,2,7,0,50
427,정재훈,두산,A,3.27,46,1,5,2,23,52.333,43,3,17,5,56
137,니퍼트,두산,A,2.95,28,22,3,0,0,167.667,151,15,57,9,142
398,장원준,두산,A,3.32,27,15,6,0,0,168,161,14,76,9,137
225,보우덴,두산,A,3.8,30,18,7,0,0,180,159,17,54,6,160
353,이정민,롯데,A,3.16,67,5,2,2,9,77,83,6,21,5,60
423,정우람,한화,A,3.33,61,8,5,16,1,81,64,7,26,4,85
512,헥터,KIA,A,3.4,31,15,5,0,0,206.667,211,7,51,6,139
273,양현종,KIA,A,3.68,31,10,12,0,0,200.333,191,19,77,2,146
506,해커,NC,A,3.45,23,13,3,0,0,140.667,132,14,31,10,119
387,임창민,NC,A,2.57,65,1,3,26,6,70,61,5,30,5,91
290,원종현,NC,A,3.18,54,3,3,3,17,70.667,51,4,18,3,75
490,켈리,SK,A,3.68,31,9,8,0,0,200.333,205,15,60,7,152
209,박희수,SK,A,3.29,51,4,5,26,0,54.667,43,3,26,5,37
310,윤성환,삼성,B,4.35,28,11,10,0,0,180,202,25,41,13,85
458,차우찬,삼성,B,4.73,24,12,6,0,0,152.333,168,16,65,8,120
26,권오준,삼성,B,3.88,41,1,3,0,7,46.333,48,9,11,3,35
401,장필준,삼성,B,5.13,56,4,6,4,9,72,82,9,26,5,57
44,김대우,삼성,B,5.05,67,6,0,0,11,66,82,8,19,6,37
153,마정길,넥센,B,4.1,61,6,1,0,12,63.667,61,10,34,4,52
282,오주원,넥센,B,4.41,55,3,2,2,7,51,50,3,17,4,40
329,이보근,넥센,B,4.45,67,5,7,0,25,64.667,69,3,27,6,56
65,김상수,넥센,B,4.62,67,6,5,0,21,74,77,6,34,1,76
306,윤명준,두산,B,3.95,55,4,0,2,11,57,51,5,17,3,39
371,이현승,두산,B,4.84,56,1,4,25,1,57.667,65,8,17,7,41
456,진야곱,두산,B,4.94,55,5,2,1,4,62,68,8,40,1,56
302,유희관,두산,B,4.41,30,15,6,0,0,185.667,212,22,58,6,102
236,손승락,롯데,B,4.26,48,7,3,20,0,50.667,61,5,24,3,48
517,홍성민,롯데,B,4.46,52,1,1,2,5,42.333,45,5,16,1,30
142,레일리,롯데,B,4.34,31,8,10,0,0,184.667,207,21,51,17,147
149,린드블럼,롯데,B,5.28,30,10,13,0,0,177.333,197,28,77,9,148
29,권혁,한화,B,3.87,66,6,2,3,13,95.333,93,5,42,7,77
392,장민재,한화,B,4.68,48,6,6,0,1,119.333,133,15,67,4,92
412,정대훈,한화,B,4.89,36,1,0,0,0,38.667,47,3,10,1,26
